repo,file_path,file_type,job_name,step_name,task_category,normalized_tool,raw_match
packaging,.github/workflows/perf.yml,github_actions,,,configuration_provisioning,actions/setup-python,actions/setup-python@a309ff8b426b58ec0e2a45f0f869d46889d02405
packaging,.github/workflows/perf.yml,github_actions,,,configuration_provisioning,astral-sh/setup-uv,astral-sh/setup-uv@08807647e7069bb48b6ef5acd8ec9567f424441b
packaging,.github/workflows/perf.yml,github_actions,asv-continuous,Install uv,configuration_provisioning,astral-sh/setup-uv,astral-sh/setup-uv@08807647e7069bb48b6ef5acd8ec9567f424441b
packaging,.github/workflows/perf.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/perf.yml
packaging,.github/workflows/publish.yml,github_actions,,,configuration_provisioning,astral-sh/setup-uv,astral-sh/setup-uv@08807647e7069bb48b6ef5acd8ec9567f424441b
packaging,.github/workflows/publish.yml,github_actions,,,configuration_provisioning,nox,nox
packaging,.github/workflows/publish.yml,github_actions,build,Build distribution via nox,configuration_provisioning,nox,nox
packaging,.github/workflows/publish.yml,github_actions,build,Install nox with pbs,configuration_provisioning,nox,nox
packaging,.github/workflows/publish.yml,github_actions,build,Provision nox environment,configuration_provisioning,nox,nox
packaging,.github/workflows/publish.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/publish.yml
packaging,.github/workflows/publish.yml,github_actions,,,delivery_deployment,pypa/gh-action-pypi-publish,pypa/gh-action-pypi-publish@cef221092ed1bacb1cc03d23a2d87d1d172e277b
packaging,.github/workflows/publish.yml,github_actions,publish,Publish distribution to PyPI,delivery_deployment,pypa/gh-action-pypi-publish,pypa/gh-action-pypi-publish@cef221092ed1bacb1cc03d23a2d87d1d172e277b
packaging,.github/workflows/publish.yml,github_actions,,,testing_tool,nox,nox
packaging,.github/workflows/publish.yml,github_actions,build,Build distribution via nox,testing_tool,nox,nox
packaging,.github/workflows/publish.yml,github_actions,build,Install nox with pbs,testing_tool,nox,nox
packaging,.github/workflows/publish.yml,github_actions,build,Provision nox environment,testing_tool,nox,nox
